ID,EnumName,DisplayName,IsFamilyInstanceCreatable,IsObsolete,IsAnnotation,IsFamilyFileCreatable,IsVirtual,ForLLM
-2009614,OST_SunriseText,Sunrise Text,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-2009617,OST_SunsetText,Sunset Text,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-2000948,OST_RailingSupport,Supports,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2001092,OST_ToposolidSurfacePattern,Surface Pattern,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001272,OST_SharedBasePoint,Survey Point,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008101,OST_SwitchSystem,Switch System,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008146,OST_SwitchboardScheduleTemplates,Switchboard Schedule Templates,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009033,OST_StructConnectionSymbol,Symbol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008215,OST_FabricationContainmentSymbology,Symbology,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008211,OST_FabricationPipeworkSymbology,Symbology,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008207,OST_FabricationDuctworkSymbology,Symbology,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001007,OST_MEPSystemZoneTags,System-Zone Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001001,OST_MEPSystemZone,System-Zones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2005000,OST_Tags,Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2008076,OST_TelephoneDeviceTags,Telephone Device Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2008075,OST_TelephoneDevices,Telephone Devices,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2005217,OST_LoadCasesTemperature,Temperature Loads,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001042,OST_TemporaryStructureTags,Temporary Structure Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001039,OST_TemporaryStructure,Temporary Structures,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2000949,OST_RailingTermination,Terminations,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2000300,OST_TextNotes,Text Notes,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
-2001093,OST_ToposolidInsulation,Thermal/Air Layer [3],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2003331,OST_TilePatterns,Tile Patterns,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000282,OST_TitleBlockMediumLines,Title Block Medium Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000281,OST_TitleBlockThinLines,Title Block Thin Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000283,OST_TitleBlockWideLines,Title Block Wide Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000280,OST_TitleBlocks,Title Blocks,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2001071,OST_TopRailTags,Top Rail Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2000946,OST_RailingTopRail,Top Rails,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001340,OST_Topography,Topography,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009526,OST_TopographyHiddenLines,Topography Hidden Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001339,OST_TopographyLink,Topography Links,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001079,OST_Toposolid,Toposolid,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001103,OST_ToposolidLinkTags,Toposolid Link Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001097,OST_ToposolidLink,Toposolid Links,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001094,OST_ToposolidTags,Toposolid Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001095,OST_ToposolidOpening,ToposolidOpening,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000921,OST_StairsTrisers,Treads/Risers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001341,OST_TopographySurface,Triangulation Edges,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009600,OST_Truss,Truss,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2009604,OST_TrussBottomChordCurve,Truss Bottom Chord,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009601,OST_TrussDiagWebCurve,Truss Diagonal Web,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2003300,OST_TrussDummy,Truss Dummy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009603,OST_TrussTopChordCurve,Truss Top Chord,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009602,OST_TrussVertWebCurve,Truss Vertical Web,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006248,OST_BridgeFramingTrusses,Trusses,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008094,OST_GbXML_SType_Underground,Underground,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001326,OST_VerticalBracing,Vertical Bracing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001052,OST_VerticalCirculation,Vertical Circulation,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-2001054,OST_VerticalCirculationTags,Vertical Circulation Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006264,OST_VibrationDamperTags,Vibration Damper Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006263,OST_VibrationDampers,Vibration Dampers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006266,OST_VibrationIsolatorTags,Vibration Isolator Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006265,OST_VibrationIsolators,Vibration Isolators,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006261,OST_VibrationManagement,Vibration Management,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006282,OST_VibrationManagementTags,Vibration Management Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2000197,OST_ReferenceViewerSymbol,View Reference Symbol,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
-2000198,OST_ReferenceViewer,View References,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2147483647,ViewTemplate,View Templates,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-2000515,OST_ViewportLabel,View Titles,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
